1;"eplusout"

"Date/Time";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] Water Heater Tank Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] Zone Operative Temperature (C)";"[1] Site Outdoor Air Drybulb Temperature (C)"
;"SOLAR COLLECTOR WATER INLET NODE";"SOLAR COLLECTOR WATER OUTLET NODE";"SOLAR LOOP WATER HEATER HEATING INLET NODE";"SOLAR LOOP WATER HEATER HEATING OUTLET NODE";"SOLAR LOOP WATER HEATER DHW INLET NODE";"SOLAR LOOP WATER HEATER DHW OUTLET NODE";"SOLAR LOOP WATER HEATER";"3637 HEATED FLOOR HOT WATER INLET NODE";"3637 HEATED FLOOR HOT WATER OUTLET NODE";"AUX HW LOOP WATER HEATER DHW INLET NODE";"AUX HW LOOP SUPPLY SIDE OUTLET";"3637";"Environment"
"17/08/2002 19:00";"20.65378436581";"12.7839079852156";"20.8428968626935";"20.5845476415787";"20.5869049930837";"20.5845476415787";"20.5845476415787";"21.0851971931154";"20.7229282917157";"20.5845476415787";"21.0853061596093";"19.8111603821479";"12.775"
"17/08/2002 20:00";"20.65378436581";"11.7839079852156";"20.8428968626935";"20.586249004667";"20.5855591820379";"20.586249004667";"20.586249004667";"21.0870549421097";"20.7178059689904";"20.586249004667";"21.0870538796819";"19.4657433743809";"11.775"
"17/08/2002 21:00";"20.65378436581";"10.6839079852157";"20.8428968626935";"20.5806061536348";"20.5768379306277";"20.5806061536348";"20.5806061536348";"21.0815882754405";"20.703631834957";"20.5806061536348";"21.0814627419435";"19.0865768664695";"10.675"
"17/08/2002 22:00";"20.65378436581";"9.58390798521565";"20.8428968626935";"20.5676887930291";"20.5608053605423";"20.5676887930291";"20.5676887930291";"21.0688458360584";"20.6808644286405";"20.5676887930291";"21.0685964808821";"18.6997540371813";"9.575"
"17/08/2002 23:00";"20.65378436581";"8.85890798521557";"20.8428968626935";"20.547236299224";"20.5371203080396";"20.547236299224";"20.547236299224";"21.0485749722771";"20.649485661558";"20.547236299224";"21.048196813944";"18.3259502234009";"8.85"
"18/08/2002 00:00";"20.65378436581";"8.25890798521563";"20.8428968626935";"20.5191754361546";"20.5058603177818";"20.5191754361546";"20.5191754361546";"21.0206950755019";"20.6098336097601";"20.5191754361546";"21.020188312772";"17.922992121523";"8.25"
"18/08/2002 01:00";"20.65378436581";"7.65890798521555";"20.8428968626935";"20.4834640555226";"20.466865790068";"20.4834640555226";"20.4834640555226";"20.9851670818628";"20.5619556719205";"20.4834640555226";"20.9845297595988";"17.5538126465225";"7.65"
"18/08/2002 02:00";"20.65378436581";"6.68390798521568";"20.8428968626935";"20.4401226434296";"20.420388605487";"20.4401226434296";"20.4401226434296";"20.9420046133702";"20.5063160877";"20.4401226434296";"20.9412395876135";"17.1885708213805";"6.675"
"18/08/2002 03:00";"20.65378436581";"5.50890798521568";"20.8428968626935";"20.3897297920142";"20.3671205591904";"20.3897297920142";"20.3897297920142";"20.8917752703338";"20.4437745791355";"20.3897297920142";"20.8908931860149";"16.8190275482892";"5.5"
"18/08/2002 04:00";"20.65378436581";"4.38390798521563";"20.8428968626935";"20.3327037336301";"20.307333658659";"20.3327037336301";"20.3327037336301";"20.8349043487068";"20.3746987517598";"20.3327037336301";"20.8339108988522";"16.4523702438091";"4.375"
"18/08/2002 05:00";"20.65378436581";"4.4839079852157";"20.8428968626935";"20.2692688788479";"20.2412344713569";"20.2692688788479";"20.2692688788479";"20.7716190771105";"20.2993532090774";"20.2692688788479";"20.7705179650809";"16.1359760719835";"4.475"
"18/08/2002 06:00";"20.65378436581";"5.05890798521561";"20.8428968626935";"20.1998935652341";"20.1695096588352";"20.1998935652341";"20.1998935652341";"20.7023785781357";"20.2185027819464";"20.1998935652341";"20.7011800031966";"15.8780135459388";"5.05"
"18/08/2002 07:00";"20.65378436581";"12.1504305230048";"20.8428968626935";"20.1256986996104";"20.0935510051738";"20.1256986996104";"20.1256986996104";"20.628287708509";"20.1336815348925";"20.1256986996104";"20.6270132253388";"15.705858562303";"5.65"
"18/08/2002 08:00";"20.65378436581";"35.3978137170311";"20.8428968626935";"20.0478255900689";"20.0146667980134";"20.0478255900689";"20.0478255900689";"20.5504934382694";"20.0465470261558";"20.0478255900689";"20.5491595629611";"16.0774725629255";"7.225"
"18/08/2002 09:00";"20.0864376955205";"20.586725575256";"20.595841645645";"20.0772885013109";"19.947062442696";"20.0772885013109";"20.0772885013109";"20.5765949358239";"19.9738234910113";"20.0773115869471";"20.5775397451672";"16.6939338878817";"9.125"
"18/08/2002 10:00";"20.14508544415";"20.932738381763";"20.9342778434799";"20.1460652662275";"19.9085417081476";"20.1460652662275";"20.1460652662275";"20.6453454903346";"19.9362704679744";"20.1460560325136";"20.6464271037007";"17.6224391296613";"11.025"
"18/08/2002 11:00";"20.1817968026093";"21.0708102695476";"21.0757179651093";"20.1821986761716";"19.8959508235124";"20.1821986761716";"20.1821986761716";"20.6826677017507";"19.9311137421295";"20.182222758163";"20.6828270559888";"18.3498140484473";"12.775"
"18/08/2002 12:00";"20.1955257238166";"21.080349937301";"21.0872565244837";"20.1956302731702";"19.9024476640999";"20.1956302731702";"20.1956302731702";"20.6964877029419";"19.9493416657487";"20.1956474983196";"20.696381664038";"19.1438859216692";"14.4"
"18/08/2002 13:00";"20.1957724448511";"21.0019834375058";"21.0103724413043";"20.1956644422543";"19.9227923153568";"20.1956644422543";"20.1956644422543";"20.6969146605223";"19.9829562525153";"20.195688913875";"20.696510353986";"19.8261818039058";"16.075"
"18/08/2002 14:00";"20.1776339008025";"20.8024863630726";"20.8128223422687";"20.1769752977588";"19.9544702382364";"20.1769752977588";"20.1769752977588";"20.6810597301906";"20.0277727416484";"20.1772710973112";"20.6782116971046";"20.2519588683291";"15.9"
"18/08/2002 15:00";"20.1449341830575";"20.5517864645209";"20.5625843142073";"20.1440397250332";"19.9902856477384";"20.1440397250332";"20.1440397250332";"20.6486162813712";"20.074938061484";"20.1443677230969";"20.6453957996607";"20.4241832176517";"15.025"
"18/08/2002 16:00";"20.1079755010404";"20.3012257775732";"20.3118357085923";"20.1070454352485";"20.0237389473968";"20.1070454352485";"20.1070454352485";"20.6116087789923";"20.1167192044117";"20.1073698795153";"20.6084130110277";"20.2620448925475";"14.2"
"18/08/2002 17:00";"20.0980350766942";"22.9234270394163";"20.250544973801";"20.0645161630848";"20.0494155868676";"20.0645161630848";"20.0645161630848";"20.5662891476609";"20.1470192948876";"20.0645161630848";"20.565587848382";"19.8650036278362";"13.625"
"18/08/2002 18:00";"20.0980350766942";"13.4238392484719";"20.250544973801";"20.0608520426163";"20.0648881218121";"20.0608520426163";"20.0608520426163";"20.5614855105951";"20.1635710898409";"20.0608520426163";"20.5615866928424";"19.5196992358123";"13.05"
"18/08/2002 19:00";"20.0980350766942";"12.5339079852156";"20.250544973801";"20.0690197879635";"20.0715190776519";"20.0690197879635";"20.0690197879635";"20.5696269896785";"20.1687430718533";"20.0690197879635";"20.5697485175606";"19.2202429759086";"12.525"
"18/08/2002 20:00";"20.0980350766942";"11.5089079852157";"20.250544973801";"20.0711651378633";"20.0707976524721";"20.0711651378633";"20.0711651378633";"20.5719326437692";"20.1650519754254";"20.0711651378633";"20.5719412626022";"18.9576947101985";"11.5"
"18/08/2002 21:00";"20.0980350766942";"10.3839079852156";"20.250544973801";"20.0671194756293";"20.0643394547776";"20.0671194756293";"20.0671194756293";"20.5680292204949";"20.1546405439871";"20.0671194756293";"20.567937332061";"18.6513907949906";"10.375"
"18/08/2002 22:00";"20.0980350766942";"9.20890798521564";"20.250544973801";"20.0574568728498";"20.0522594553682";"20.0574568728498";"20.0574568728498";"20.5585016130964";"20.1377963891127";"20.0574568728498";"20.5583141786773";"18.3194101386982";"9.2"
"18/08/2002 23:00";"20.0980350766942";"8.45890798521569";"20.250544973801";"20.0417272002875";"20.0338429159221";"20.0417272002875";"20.0417272002875";"20.5429207106471";"20.1138711590668";"20.0417272002875";"20.5426278294731";"17.9845946363328";"8.45"
"19/08/2002 00:00";"20.0980350766942";"7.7839079852157";"20.250544973801";"20.0194308420028";"20.0087030495684";"20.0194308420028";"20.0194308420028";"20.5207832013816";"20.0825538387993";"20.0194308420028";"20.5203775312971";"17.6071532654168";"7.775"
"19/08/2002 01:00";"20.0980350766942";"7.1589079852156";"20.250544973801";"19.9901064874277";"19.9762839080756";"19.9901064874277";"19.9901064874277";"20.4916299039651";"20.0433935090556";"19.9901064874277";"20.4911026051641";"17.2474085944014";"7.15"
"19/08/2002 02:00";"20.0980350766942";"6.03390798521571";"20.250544973801";"19.9533903803886";"19.936461098064";"19.9533903803886";"19.9533903803886";"20.4550895500675";"19.9964106552122";"19.9533903803886";"20.4544370399905";"16.877190419236";"6.025"
"19/08/2002 03:00";"20.0980350766942";"4.73390798521563";"20.250544973801";"19.9095063479175";"19.8895916753553";"19.9095063479175";"19.9095063479175";"20.4113740556323";"19.9420843546352";"19.9095063479175";"20.41060117358";"16.4994788733791";"4.725"
"19/08/2002 04:00";"20.0980350766942";"3.43390798521555";"20.250544973801";"19.8586259315574";"19.8357724775133";"19.8586259315574";"19.8586259315574";"20.3606586758224";"19.8806091065534";"19.8586259315574";"20.3597676614694";"16.1293342071307";"3.425"
"19/08/2002 05:00";"20.0980350766942";"4.38390798521563";"20.250544973801";"19.8009510046217";"19.7752954717204";"19.8009510046217";"19.8009510046217";"20.3031422430648";"19.8123834595796";"19.8009510046217";"20.3021374749342";"15.8536699785117";"4.375"
"19/08/2002 06:00";"20.0980350766942";"6.15890798521564";"20.250544973801";"19.737292575775";"19.7094004007991";"19.737292575775";"19.737292575775";"20.2396162626553";"19.7388108905391";"19.737292575775";"20.2385158740798";"15.6818927082844";"6.15"
"19/08/2002 07:00";"20.0980350766942";"13.7785264340857";"20.250544973801";"19.6695942370459";"19.6404396144889";"19.6695942370459";"19.6695942370459";"20.1719981391723";"19.6624844635483";"19.6695942370459";"20.1708388061036";"15.6039623374821";"7.875"
"19/08/2002 08:00";"20.0980350766942";"31.5212207300014";"20.250544973801";"19.5997611141789";"19.5702656588366";"19.5997611141789";"19.5997611141789";"20.1022046751708";"19.5854285593203";"19.5997611141789";"20.1010139634398";"15.9746229391151";"9.725"
"19/08/2002 09:00";"19.6160255228924";"19.9590503964832";"19.9694590862938";"19.6079327733575";"19.5118089212907";"19.6079327733575";"19.6079327733575";"20.1098516671605";"19.5219634860914";"19.608109892293";"20.1085804028961";"16.5028731471414";"11.55"
"19/08/2002 10:00";"19.6397820433238";"20.1690434783048";"20.1725513303197";"19.6401962575009";"19.4738692725701";"19.6401962575009";"19.6401962575009";"20.1403833181351";"19.4822938104685";"19.6401972494955";"20.1407798911956";"17.2937928549938";"13.425"
"19/08/2002 11:00";"19.653513445208";"20.2465294395901";"20.2522243511193";"19.6535383234976";"19.458053428382";"19.6535383234976";"19.6535383234976";"20.1550865368146";"19.4685457690236";"19.6536422111806";"20.1543476011577";"17.8010944895946";"13.3"
"19/08/2002 12:00";"19.6583995804514";"20.2579879972766";"20.2646646125049";"19.6583195015127";"19.4582559920937";"19.6583195015127";"19.6583195015127";"20.1603456262084";"19.4732849143717";"19.6584625812879";"20.15919714774";"18.310762314719";"12.5"
"19/08/2002 13:00";"19.6577191398196";"20.2155594896669";"20.2229306351566";"19.6575278548287";"19.4694737262452";"19.6575278548287";"19.6575278548287";"20.1599437909636";"19.490654781113";"19.6577007120695";"20.1584704712766";"18.7419568336584";"11.7"
"19/08/2002 14:00";"19.6579818112631";"20.1582225193494";"20.1659360144322";"19.6578121110143";"19.4893320138618";"19.6578121110143";"19.6578121110143";"20.1603121318585";"19.5174635431782";"19.6579947199423";"20.1587512607061";"19.06315813754";"11.65"
"19/08/2002 15:00";"19.650988707321";"20.0323254325794";"20.0414357670736";"19.6505654341394";"19.5146129184329";"19.6505654341394";"19.6505654341394";"20.1538866129358";"19.5498177834709";"19.6508084994809";"20.1516472157534";"19.3059853643051";"11.775"
"19/08/2002 16:00";"19.6256142099133";"19.8238539941165";"19.8342789096828";"19.6248005713172";"19.5405873396996";"19.6248005713172";"19.6248005713172";"20.1291099891384";"19.5824972948957";"19.6251105953031";"20.1260864501384";"19.4344602143513";"11.95"
"19/08/2002 17:00";"19.6154875307002";"21.466883898646";"19.7613746837745";"19.5787787996659";"19.5627137438878";"19.5787787996659";"19.5787787996659";"20.0806184956582";"19.6100380641999";"19.5787787996659";"20.0798537874785";"19.3551607768294";"11.475"
"19/08/2002 18:00";"19.6154875307002";"11.2847271052792";"19.7613746837745";"19.5752169696697";"19.5801931006175";"19.5752169696697";"19.5752169696697";"20.0757978395256";"19.631320305475";"19.5752169696697";"20.0759195452865";"19.082721390034";"10.85"
"19/08/2002 19:00";"19.6154875307002";"10.1839079852156";"19.7613746837745";"19.5873016866264";"19.5918790931978";"19.5873016866264";"19.5873016866264";"20.0877768424401";"19.6449284075103";"19.5873016866264";"20.0879751364974";"18.7326260037692";"10.175"
"19/08/2002 20:00";"19.6154875307002";"9.78390798521563";"19.7613746837745";"19.5942921979851";"19.5958414294636";"19.5942921979851";"19.5942921979851";"20.0949233113331";"19.6488035919502";"19.5942921979851";"20.0950120352572";"18.422141562793";"9.775"
