,Unnamed: 0,4299 WATER OUTLET,4292 WATER OUTLET,AUX HW LOOP WATER HEATER,AUX HW LOOP SUPPLY SIDE INLET,Environment,Environment.1,Environment.2,AUX HW LOOP WATER HEATER DHW INLET NODE,AUX HW LOOP SUPPLY SIDE OUTLET
63,3/01/2002 16:00,0.0,0.0,0.0,16.8411859631888,6.75,255.0,235.0,16.8411859631888,50.0207644966875
64,3/01/2002 17:00,0.0,0.0,0.0,16.8411859631888,7.6,157.5,139.25,16.8411859631888,50.0207644966875
65,3/01/2002 18:00,0.0,0.0,0.0,16.8411859631888,8.8,54.5,44.25,16.8411859631888,50.0207644966875
66,3/01/2002 19:00,0.0,0.0,0.0,16.8411859631888,10.0,0.0,0.0,16.8411859631888,50.0207644966875
67,3/01/2002 20:00,1327.16936081676,175.783514692084,0.0,16.8411923171177,9.925,0.0,0.0,54.970554376683,50.7677564706332
68,3/01/2002 21:00,1372.69251261167,181.813053844077,0.0,16.8411928946789,9.425,0.0,0.0,54.9824149538233,51.976169458149
69,3/01/2002 22:00,1407.24199637441,186.389131220422,0.0,16.8411928946824,8.925,0.0,0.0,54.9460294298242,52.8322270892581
70,3/01/2002 23:00,1430.65282980901,189.489894924364,0.0,16.8411928946824,8.425,0.0,0.0,54.6463499369808,53.4128180981151
71,4/01/2002 00:00,0.0,0.0,0.0,16.8411928946824,7.925,0.0,0.0,16.8411928946824,53.5851474445021
72,4/01/2002 01:00,0.0,0.0,0.0,16.8411928946824,7.425,0.0,0.0,16.8411928946824,53.5851474445021
73,4/01/2002 02:00,0.0,0.0,0.0,16.8411928946824,6.925,0.0,0.0,16.8411928946824,53.5851474445021
74,4/01/2002 03:00,0.0,0.0,0.0,16.8411928946824,6.425,0.0,0.0,16.8411928946824,53.5851474445021
75,4/01/2002 04:00,0.0,0.0,0.0,16.8411928946824,5.925,0.0,0.0,16.8411928946824,53.5851474445021
76,4/01/2002 05:00,0.0,0.0,0.0,16.8411928946824,5.725,0.0,0.0,16.8411928946824,53.5851474445021
77,4/01/2002 06:00,0.0,0.0,0.0,16.8411928946824,5.55,27.25,24.25,16.8411928946824,53.5851474445021
78,4/01/2002 07:00,0.0,0.0,0.0,16.8411928946824,5.425,121.25,81.25,16.8411928946824,53.5851474445021
79,4/01/2002 08:00,6959.75777534326,921.819565215471,988.617445847245,16.8911514997122,5.55,249.75,49.5,49.4595725159083,52.4045028760403
80,4/01/2002 09:00,6951.34769244294,920.70565016083,2200.16268640152,16.8919982578751,5.675,338.0,87.25,42.9640277125688,52.437530804298
81,4/01/2002 10:00,6949.62725486541,920.477778290733,3642.68088685399,16.8919982578751,5.85,431.5,71.25,39.5022521606871,52.3885638041968
82,4/01/2002 11:00,0.0,0.0,0.0,16.8919982578751,6.2,458.75,101.25,16.8919982578751,51.2158911227671
83,4/01/2002 12:00,0.0,0.0,0.0,16.8919982578751,6.6,480.75,99.0,16.8919982578751,51.2158911227671
84,4/01/2002 13:00,0.0,0.0,0.0,16.8919982578751,7.0,467.0,99.75,16.8919982578751,51.2158911227671
85,4/01/2002 14:00,0.0,0.0,0.0,16.8919982578751,7.4,428.25,91.75,16.8919982578751,51.2158911227671
86,4/01/2002 15:00,0.0,0.0,0.0,16.8919982578751,7.8,372.75,68.25,16.8919982578751,51.2158911227671
87,4/01/2002 16:00,0.0,0.0,0.0,16.8919982578751,8.2,259.5,83.5,16.8919982578751,51.2158911227671
88,4/01/2002 17:00,0.0,0.0,0.0,16.8919982578751,7.85,154.75,51.5,16.8919982578751,51.2158911227671
89,4/01/2002 18:00,0.0,0.0,0.0,16.8919982578751,7.325,53.0,10.5,16.8919982578751,51.2158911227671
90,4/01/2002 19:00,0.0,0.0,0.0,16.8919982578751,6.75,0.0,0.0,16.8919982578751,51.2158911227671
91,4/01/2002 20:00,1363.00673496749,180.530173085157,0.0,16.89200466339,6.45,0.0,0.0,53.6160500911685,51.6219745797156
92,4/01/2002 21:00,1371.56583156148,181.663824995984,0.0,16.8920052456421,6.25,0.0,0.0,51.7450617574024,51.9108768837995
93,4/01/2002 22:00,1359.99182528977,180.130848450883,0.0,16.8920052456456,6.05,0.0,0.0,49.9531126321319,51.5798026664017
94,4/01/2002 23:00,1332.88005272149,176.539895545934,0.0,16.8920052456456,5.925,0.0,0.0,48.254463685658,50.8550972998314
95,5/01/2002 00:00,0.0,0.0,0.0,16.8920052456456,5.9,0.0,0.0,16.8920052456456,50.4060415006315
96,5/01/2002 01:00,0.0,0.0,0.0,16.8920052456456,5.825,0.0,0.0,16.8920052456456,50.4060415006315
97,5/01/2002 02:00,0.0,0.0,0.0,16.8920052456456,5.725,0.0,0.0,16.8920052456456,50.4060415006315
98,5/01/2002 03:00,0.0,0.0,0.0,16.8920052456456,5.7,0.0,0.0,16.8920052456456,50.4060415006315
99,5/01/2002 04:00,0.0,0.0,0.0,16.8920052456456,5.625,0.0,0.0,16.8920052456456,50.4060415006315
100,5/01/2002 05:00,0.0,0.0,0.0,16.8920052456456,5.675,0.0,0.0,16.8920052456456,50.4060415006315
101,5/01/2002 06:00,0.0,0.0,0.0,16.8920052456456,5.775,31.0,56.5,16.8920052456456,50.4060415006315
102,5/01/2002 07:00,0.0,0.0,0.0,16.8920052456456,5.875,132.75,209.0,16.8920052456456,50.4060415006315
103,5/01/2002 08:00,6911.76634679679,915.463102932615,3135.36273079742,16.9409292785262,5.975,264.5,176.25,43.7486398707333,52.2566049067354
104,5/01/2002 09:00,6945.98104002188,919.994837319187,3657.56001481123,16.9417585017074,6.15,342.5,211.0,39.5239781168525,52.4135274454695
105,5/01/2002 10:00,6965.30832692392,922.554735491499,3902.78677571339,16.9417585017074,6.275,443.0,157.75,38.5380879032835,52.5178596393002
106,5/01/2002 11:00,0.0,0.0,0.0,16.9417585017074,7.425,469.5,172.0,16.9417585017074,54.0907348910498
107,5/01/2002 12:00,0.0,0.0,0.0,16.9417585017074,8.85,493.5,149.75,16.9417585017074,54.0907348910498
108,5/01/2002 13:00,0.0,0.0,0.0,16.9417585017074,10.325,478.25,138.5,16.9417585017074,54.0907348910498
109,5/01/2002 14:00,0.0,0.0,0.0,16.9417585017074,9.8,440.25,128.75,16.9417585017074,54.0907348910498
110,5/01/2002 15:00,0.0,0.0,0.0,16.9417585017074,8.525,389.25,98.75,16.9417585017074,54.0907348910498
111,5/01/2002 16:00,0.0,0.0,0.0,16.9417585017074,7.3,265.25,131.0,16.9417585017074,54.0907348910498
112,5/01/2002 17:00,0.0,0.0,0.0,16.9417585017074,6.625,166.5,105.5,16.9417585017074,54.0907348910498
113,5/01/2002 18:00,0.0,0.0,0.0,16.9417585017074,6.05,57.0,62.25,16.9417585017074,54.0907348910498
114,5/01/2002 19:00,0.0,0.0,0.0,16.9417585017074,5.525,0.0,0.0,16.9417585017074,54.0907348910497
115,5/01/2002 20:00,1453.28556886891,192.487600067745,0.0,16.941764957708,5.55,0.0,0.0,54.9738475430777,54.2233270214947
116,5/01/2002 21:00,1468.12820661599,194.453506686383,0.0,16.9417655445449,5.75,0.0,0.0,54.9806035058191,54.4417702616713
117,5/01/2002 22:00,1472.78541548698,195.070353765714,0.0,16.9417655445485,5.95,0.0,0.0,54.4473487740868,54.5469356694932
118,5/01/2002 23:00,1462.19872349472,193.668146946973,0.0,16.9417655445485,5.475,0.0,0.0,52.5873916200445,54.2379381250616
119,6/01/2002 00:00,0.0,0.0,0.0,16.9417655445485,4.775,0.0,0.0,16.9417655445485,53.9349426878302
120,6/01/2002 01:00,0.0,0.0,0.0,16.9417655445485,4.075,0.0,0.0,16.9417655445485,53.9349426878302
121,6/01/2002 02:00,0.0,0.0,0.0,16.9417655445485,3.825,0.0,0.0,16.9417655445485,53.9349426878302
122,6/01/2002 03:00,0.0,0.0,0.0,16.9417655445485,3.725,0.0,0.0,16.9417655445485,53.9349426878302
123,6/01/2002 04:00,0.0,0.0,0.0,16.9417655445485,3.625,0.0,0.0,16.9417655445485,53.9349426878302
124,6/01/2002 05:00,0.0,0.0,0.0,16.9417655445485,3.525,0.0,0.0,16.9417655445485,53.9349426878302
125,6/01/2002 06:00,0.0,0.0,0.0,16.9417655445485,3.425,25.75,12.25,16.9417655445485,53.9349426878302
126,6/01/2002 07:00,0.0,0.0,0.0,16.9417655445485,3.325,124.5,61.75,16.9417655445485,53.9349426878302
127,6/01/2002 08:00,6938.77711305138,919.040677556427,990.33826739153,16.9896405161881,4.65,238.5,112.75,47.4570401036547,52.4094157561125
128,6/01/2002 09:00,6921.39358863166,916.738230626554,3404.59107484329,16.9904519586228,6.45,345.25,150.5,41.9802108388305,52.2957042260712
129,6/01/2002 10:00,6926.25777969165,917.382492486346,3604.79067790076,16.9904519586228,8.25,478.0,113.5,40.0126925061849,52.3596719780764
130,6/01/2002 11:00,0.0,0.0,0.0,16.9904519586228,6.75,605.75,6.75,16.9904519586228,54.6804401058363
131,6/01/2002 12:00,0.0,0.0,0.0,16.9904519586228,4.225,602.0,5.75,16.9904519586228,54.6804401058363
132,6/01/2002 13:00,0.0,0.0,0.0,16.9904519586228,1.65,542.0,33.25,16.9904519586228,54.6804401058363
133,6/01/2002 14:00,0.0,0.0,0.0,16.9904519586228,3.025,436.75,108.0,16.9904519586228,54.6804401058363
134,6/01/2002 15:00,0.0,0.0,0.0,16.9904519586228,5.65,385.75,92.25,16.9904519586228,54.6804401058363
135,6/01/2002 16:00,0.0,0.0,0.0,16.9904519586228,8.325,266.75,119.75,16.9904519586228,54.6804401058363
136,6/01/2002 17:00,0.0,0.0,0.0,16.9904519586228,8.25,167.0,73.25,16.9904519586228,54.6804401058363
137,6/01/2002 18:00,0.0,0.0,0.0,16.9904519586228,7.25,51.5,53.25,16.9904519586228,54.6804401058363
138,6/01/2002 19:00,0.0,0.0,0.0,16.9904519586228,6.25,0.0,0.0,16.9904519586228,54.6804401058364
139,6/01/2002 20:00,1468.780480554,194.539900336471,0.0,16.9904584640526,6.675,0.0,0.0,54.9685906842448,54.7225482668727
140,6/01/2002 21:00,1479.77743572959,195.996446493088,0.0,16.9904590553825,7.65,0.0,0.0,54.5814946769649,54.7695212198136
141,6/01/2002 22:00,1468.22422749676,194.466224647183,0.0,16.9904590553861,8.575,0.0,0.0,52.7689176647804,54.4412836408694
142,6/01/2002 23:00,1439.83402123717,190.705943264503,0.0,16.9904590553861,8.95,0.0,0.0,50.9283544209446,53.681010562012
143,7/01/2002 00:00,0.0,0.0,0.0,16.9904590553861,9.075,0.0,0.0,16.9904590553861,53.2042404046828
144,7/01/2002 01:00,0.0,0.0,0.0,16.9904590553861,9.25,0.0,0.0,16.9904590553861,53.2042404046828
145,7/01/2002 02:00,0.0,0.0,0.0,16.9904590553861,9.225,0.0,0.0,16.9904590553861,53.2042404046828
146,7/01/2002 03:00,0.0,0.0,0.0,16.9904590553861,9.125,0.0,0.0,16.9904590553861,53.2042404046828
147,7/01/2002 04:00,0.0,0.0,0.0,16.9904590553861,9.025,0.0,0.0,16.9904590553861,53.2042404046828
148,7/01/2002 05:00,0.0,0.0,0.0,16.9904590553861,8.025,0.0,0.0,16.9904590553861,53.2042404046828
149,7/01/2002 06:00,0.0,0.0,0.0,16.9904590553861,6.65,25.25,12.0,16.9904590553861,53.2042404046828
150,7/01/2002 07:00,0.0,0.0,0.0,16.9904590553861,5.325,127.25,44.75,16.9904590553861,53.2042404046827
151,7/01/2002 08:00,6851.41087409471,907.469023626909,1678.15325747297,17.037270787239,4.775,247.0,50.5,46.0472107172332,51.9916216814793
152,7/01/2002 09:00,6925.82882707321,917.325677733737,3037.91985626398,17.0380642085171,4.4,336.25,88.25,40.5277513337523,52.4254697102973
153,7/01/2002 10:00,6932.96897932171,918.271390537794,4664.20824481784,17.0380642085171,4.075,430.75,72.25,37.8868407995884,52.4450788698445
154,7/01/2002 11:00,0.0,0.0,156.708194808989,17.0380642085171,4.375,459.0,102.25,17.0380642085171,54.9941863093909
155,7/01/2002 12:00,0.0,0.0,0.0,17.0380642085171,4.8,482.0,100.0,17.0380642085171,55.0
156,7/01/2002 13:00,0.0,0.0,0.0,17.0380642085171,5.275,469.0,101.0,17.0380642085171,55.0
157,7/01/2002 14:00,0.0,0.0,0.0,17.0380642085171,5.175,430.5,93.5,17.0380642085171,55.0
158,7/01/2002 15:00,0.0,0.0,0.0,17.0380642085171,4.8,374.75,71.0,17.0380642085171,55.0
159,7/01/2002 16:00,0.0,0.0,0.0,17.0380642085171,4.475,259.5,90.25,17.0380642085171,55.0
160,7/01/2002 17:00,0.0,0.0,0.0,17.0380642085171,4.175,157.75,54.25,17.0380642085171,55.0
161,7/01/2002 18:00,0.0,0.0,0.0,17.0380642085171,3.8,55.25,12.0,17.0380642085171,55.0
