1;"eplusout"

"Date/Time";"[1] System Node Standard Density Volume Flow Rate (m3/s)";"[1] System Node Standard Density Volume Flow Rate (m3/s)";"[1] System Node Standard Density Volume Flow Rate (m3/s)";"[1] System Node Standard Density Volume Flow Rate (m3/s)";"[1] System Node Standard Density Volume Flow Rate (m3/s)"
;"SOLAR LOOP WATER HEATER DHW INLET NODE";"TEMPERING VALVE WATER OUTLET NODE";"AUX HW LOOP SUPPLY PUMP WATER OUTLET NODE";"3686 HEATED FLOOR HOT WATER INLET NODE";"SOLAR LOOP SUPPLY PUMP WATER OUTLET NODE"
"4/01/2002 09:00";"0.000157188427511512";"0";"0.000157188428444445";"1.22433087990502E-05";"5E-05"
"4/01/2002 10:00";"0.000157188427511512";"0";"0.000157188428444445";"1.22433087990502E-05";"5E-05"
"4/01/2002 11:00";"0.000157188427511512";"0";"0.000157188428444445";"1.22433087990502E-05";"5E-05"
"4/01/2002 12:00";"0.000157188427511512";"0";"0.000157188428444445";"1.22433087990502E-05";"5E-05"
"4/01/2002 13:00";"0.000155430194811394";"0";"0.00015543019527786";"1.22433087990502E-05";"5E-05"
"4/01/2002 14:00";"0.000133419991452392";"0";"0.000133419991452392";"1.05554900775786E-05";"5E-05"
"4/01/2002 15:00";"0.000102881567465956";"0";"0.000102881567465956";"7.84425842452742E-06";"5E-05"
"4/01/2002 16:00";"7.78382536988734E-05";"0";"7.78382536988734E-05";"5.59309103196108E-06";"5E-05"
"4/01/2002 17:00";"6.3559667367779E-05";"0";"6.3559667367779E-05";"4.25953560317417E-06";"0"
"4/01/2002 18:00";"7.04097150623217E-05";"3.64798991001809E-07";"7.07745140533235E-05";"4.79241204660911E-06";"0"
"4/01/2002 19:00";"9.02708604252242E-05";"7.54785942853708E-07";"9.10256463680779E-05";"6.65569988937469E-06";"0"
"4/01/2002 20:00";"0.000115921244559162";"8.08592965116317E-07";"0.000116729837524278";"9.09659321348093E-06";"0"
"4/01/2002 21:00";"0.000139273349435528";"8.22969657755377E-07";"0.000140096319093283";"1.13903318457259E-05";"0"
"4/01/2002 22:00";"0.00015562592675576";"3.80102030977447E-07";"0.000156006028786738";"1.22433087990502E-05";"0"
"4/01/2002 23:00";"0.000157182324922224";"6.10352222142474E-09";"0.000157188428444445";"1.22433087990502E-05";"0"
"5/01/2002 00:00";"0.000157188404602562";"2.38418836736453E-11";"0.000157188428444445";"1.22433087990502E-05";"0"
"5/01/2002 01:00";"0.000157188427743213";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"5/01/2002 02:00";"0.000157188427743213";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"5/01/2002 03:00";"0.000157188427743213";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"5/01/2002 04:00";"0.000157188427743213";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"5/01/2002 05:00";"0.000157188427743213";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"5/01/2002 06:00";"0.000157188427743213";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"5/01/2002 07:00";"0.000157188427743213";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"5/01/2002 08:00";"0.000157188427743213";"0";"0.000157188428444445";"1.22433087990502E-05";"0"
"5/01/2002 09:00";"0.000157188427743213";"0";"0.000157188428444445";"1.22433087990502E-05";"5E-05"
"5/01/2002 10:00";"0.000157188427743213";"0";"0.000157188428444445";"1.22433087990502E-05";"5E-05"
"5/01/2002 11:00";"0.000157124005352472";"3.78959364545695E-09";"0.000157127794946118";"1.22433087990502E-05";"5E-05"
