1;"eplusout"

"Date/Time";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] Water Heater Tank Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)";"[1] System Node Temperature (C)"
;"SOLAR COLLECTOR WATER INLET NODE";"SOLAR COLLECTOR WATER OUTLET NODE";"SOLAR LOOP WATER HEATER DHW INLET NODE";"SOLAR LOOP WATER HEATER DHW OUTLET NODE";"SOLAR LOOP WATER HEATER HEATING OUTLET NODE";"SOLAR LOOP WATER HEATER HEATING INLET NODE";"SOLAR LOOP WATER HEATER";"TEMPERING VALVE WATER INLET NODE";"AUX HW LOOP WATER HEATER DHW INLET NODE";"SOLAR LOOP WATER HEATER DHW OUTLET NODE";"SOLAR LOOP WATER HEATER DHW INLET NODE";"AUX HW LOOP WATER HEATER DHW INLET NODE";"AUX HW LOOP SUPPLY SIDE OUTLET";"3637 HEATED FLOOR HOT WATER INLET NODE";"3637 HEATED FLOOR HOT WATER OUTLET NODE"
"2/01/2002 10:00";"80.0628866987039";"80.0331453972383";"40";"80.0622179349258";"80.0622179349258";"80.037131208732";"80.0622179349258";"40";"40";"80.0622179349258";"40";"40";"40";"40";"40"
"2/01/2002 11:00";"80.0959265504038";"80.2215076501613";"40";"80.0968667433068";"80.0968667433068";"80.2246238221844";"80.0968667433068";"40";"40";"80.0968667433068";"40";"40";"40";"40";"40"
"2/01/2002 12:00";"80.1967030903289";"80.39332861634";"40";"80.1985430267651";"80.1985430267651";"80.3969422630905";"80.1985430267651";"40";"40";"80.1985430267651";"40";"40";"40";"40";"40"
"2/01/2002 13:00";"80.3136939693149";"80.4804743911769";"40";"80.3154310659021";"80.3154310659021";"80.4860970820862";"80.3154310659021";"40";"40";"80.3154310659021";"40";"40";"40";"40";"40"
"2/01/2002 14:00";"80.3748792411589";"80.3946839118952";"40";"80.3752407146652";"80.3752407146652";"80.4029176927732";"80.3752407146652";"40";"40";"80.3752407146652";"40";"40";"40";"40";"40"
"2/01/2002 15:00";"80.3393297844911";"80.1751437224389";"40";"80.3378524916596";"80.3378524916596";"80.1857498566146";"80.3378524916596";"40";"40";"80.3378524916596";"40";"40";"40";"40";"40"
"2/01/2002 16:00";"80.1791380634957";"79.7634953998509";"40";"80.1752069971576";"80.1752069971576";"79.7778492900968";"80.1752069971576";"40";"40";"80.1752069971576";"40";"40";"40";"40";"40"
"2/01/2002 17:00";"80.1147212862278";"33.1005932916675";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"2/01/2002 18:00";"80.1147212862278";"19.6796949033444";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"2/01/2002 19:00";"80.1147212862278";"12.9341487322205";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"2/01/2002 20:00";"80.1147212862278";"12.5841487322205";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"2/01/2002 21:00";"80.1147212862278";"12.3591487322206";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"2/01/2002 22:00";"80.1147212862278";"12.0841487322205";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"2/01/2002 23:00";"80.1147212862278";"11.7841487322205";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"3/01/2002 00:00";"80.1147212862278";"11.4091487322205";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"3/01/2002 01:00";"80.1147212862278";"11.0841487322205";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"3/01/2002 02:00";"80.1147212862278";"10.4841487322206";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"3/01/2002 03:00";"80.1147212862278";"9.85914873222053";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"3/01/2002 04:00";"80.1147212862278";"9.18414873222062";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"3/01/2002 05:00";"80.1147212862278";"9.38414873222045";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"3/01/2002 06:00";"80.1147212862278";"13.6415710554934";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"3/01/2002 07:00";"80.1147212862278";"26.2146134246922";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"3/01/2002 08:00";"80.1147212862278";"43.181818126764";"40";"80.0459550494035";"80.0459550494035";"79.6244205842329";"80.0459550494035";"40";"40";"80.0459550494035";"40";"40";"40";"40";"40"
"3/01/2002 09:00";"80.0120072355151";"79.9276858306719";"40";"80.01005540717";"80.01005540717";"79.9279448828015";"80.01005540717";"40";"40";"80.01005540717";"40";"40";"40";"40";"40"
"3/01/2002 10:00";"80.0332216235574";"80.1804565024512";"40";"80.0344618800771";"80.0344618800771";"80.1821559296904";"80.0344618800771";"40";"40";"80.0344618800771";"40";"40";"40";"40";"40"
"3/01/2002 11:00";"80.1678953402442";"80.4486364673334";"40";"80.1702927894281";"80.1702927894281";"80.4509306400459";"80.1702927894281";"40";"40";"80.1702927894281";"40";"40";"40";"40";"40"
"3/01/2002 12:00";"80.3444258678521";"80.6441122355918";"40";"80.3473995169291";"80.3473995169291";"80.6474613820962";"80.3473995169291";"40";"40";"80.3473995169291";"40";"40";"40";"40";"40"
"3/01/2002 13:00";"80.5137589085912";"80.7703300034744";"40";"80.5163866482592";"80.5163866482592";"80.7746705603559";"80.5163866482592";"40";"40";"80.5163866482592";"40";"40";"40";"40";"40"
"3/01/2002 14:00";"80.65479900702";"80.8516995327193";"40";"80.6568656994634";"80.6568656994634";"80.8571360548528";"80.6568656994634";"40";"40";"80.6568656994634";"40";"40";"40";"40";"40"
"3/01/2002 15:00";"80.7367991369079";"80.7895944485719";"40";"80.73752139893";"80.73752139893";"80.7976746527958";"80.73752139893";"40";"40";"80.73752139893";"40";"40";"40";"40";"40"
"3/01/2002 16:00";"80.6900781365218";"80.3951091422616";"40";"80.6877072221418";"80.6877072221418";"80.4109333638395";"80.6877072221418";"40";"40";"80.6877072221418";"40";"40";"40";"40";"40"
"3/01/2002 17:00";"80.6447358010309";"35.7734847082949";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"3/01/2002 18:00";"80.6447358010309";"21.949734776934";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"3/01/2002 19:00";"80.6447358010309";"14.3091487322205";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"3/01/2002 20:00";"80.6447358010309";"13.5591487322205";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"3/01/2002 21:00";"80.6447358010309";"12.9591487322206";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
"3/01/2002 22:00";"80.6447358010309";"12.3591487322206";"40";"80.581159044317";"80.581159044317";"80.1861938654803";"80.581159044317";"40";"40";"80.581159044317";"40";"40";"40";"40";"40"
