1;"eplusout"

"Date/Time";"[1] Site Outdoor Air Drybulb Temperature (C)";"[1] Zone Operative Temperature (C)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)";"[1] Surface Inside Face Conduction Heat Transfer Rate (W)"
;"Environment";"3658";"3658_GROUNDFLOOR_0_0_0";"3658_PARTITION_2_0_0";"3658_PARTITION_4_0_10004";"3658_PARTITION_5_0_0";"3658_ROOF_1_0_0";"3658_WALL_3_0_0"
"30/04/2002 21:00";"7.5";"15.4803369234148";"9.68634303500329";"11.4968322943536";"11.1449558112107";"4.81928382486473";"1.26701023371095";"-14.1863293284358"
"30/04/2002 22:00";"5.325";"15.1543881429376";"18.0539111377593";"12.9621292483276";"12.6107404307309";"9.0848105211407";"-0.740823514880617";"-17.7922778522732"
"30/04/2002 23:00";"4.2";"14.8333792444607";"26.1153495097635";"13.8274776085423";"13.4777717696736";"12.3050364976072";"-3.46454705238113";"-22.3836264211228"
"1/05/2002 00:00";"3.7";"14.5056900226083";"35.012726335869";"15.0083610036041";"14.6601384238351";"15.6508901296699";"-5.18775455112779";"-25.2119218972728"
"1/05/2002 01:00";"3.45";"14.1965011147139";"41.7874113512518";"14.6593967673886";"14.3132541380252";"16.6805493715249";"-8.4853351369922";"-27.71339921566"
"1/05/2002 02:00";"3.175";"13.9038285030196";"48.3740848434435";"14.3124275024757";"13.9674787909443";"17.4643099376343";"-12.4037797578704";"-29.6697651700615"
"1/05/2002 03:00";"2.725";"13.6137318090582";"54.5404756938166";"13.9536897112373";"13.6094222991856";"18.0217255198717";"-16.1935026958229";"-31.0143060039617"
"1/05/2002 04:00";"2.375";"13.3354265999035";"60.3368112785883";"13.5887059509869";"13.2445550620294";"18.3866673496968";"-19.2893553416686";"-31.947364324367"
"1/05/2002 05:00";"2.075";"13.0733704317857";"65.3864123645781";"12.9871674881975";"12.6429150505839";"18.2804226269621";"-21.9424629381273";"-32.6329423952892"
"1/05/2002 06:00";"1.7";"12.8336697308547";"69.5502261984665";"12.1370312202366";"11.7919771053702";"17.6846618935562";"-23.7867985695215";"-32.7412495559515"
"1/05/2002 07:00";"1.3";"12.6518154162663";"69.3759641032627";"9.43544638995409";"9.08920274274482";"14.3250297620182";"-26.2424599360472";"-32.631025902444"
"1/05/2002 08:00";"0.75";"12.8235555516519";"51.1215061176498";"-2.64698879891775";"-2.991895979339";"-2.38649402172143";"-37.7139362205175";"-35.3399590685849"
"1/05/2002 09:00";"0.15";"13.056260876093";"37.1060297532922";"-9.73203573455357";"-10.0794220910953";"-13.6132085620255";"-32.824992861989";"-29.8238364348868"
"1/05/2002 10:00";"-0.15";"13.4426063160587";"15.9051327320432";"-16.4288755662979";"-16.7795271063308";"-25.4027816105496";"-23.4885735764652";"-24.5281158380308"
"1/05/2002 11:00";"1.3";"13.8627703514574";"-5.33211298911254";"-19.7056513390012";"-20.0602739539611";"-33.8302973600979";"-6.10242361017424";"-13.4803018963998"
"1/05/2002 12:00";"4.725";"14.630313300148";"-39.6264315776965";"-28.2963724921112";"-28.652104715369";"-50.5762414472029";"4.12934530562802";"-5.24258914906062"
